2025-10-25 20:09:50 | Rahbar: Tarix fakulteti (Win +) | Kimga: O‘qituvchi | Fakultet: Tabiiy va tibbiyot fakulteti | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:11:20 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:11:21 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:11:21 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:11:21 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:30:48 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:30:48 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:30:48 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:30:48 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ⚠️ Hech bir foydalanuvchiga xabar yuborilmadi.
2025-10-25 20:47:48 | Rahbar: Tarix fakulteti (Win +) | Kimga: O‘qituvchi | Fakultet: Barchasi | ✅ Xabar 1 ta o‘qituvchiga yuborildi.
2025-10-25 20:47:48 | Rahbar: Tarix fakulteti (Win +) | Kimga: O‘qituvchi | Fakultet: Barchasi | ✅ Xabar 2 ta o‘qituvchiga yuborildi.
2025-10-25 20:47:49 | Rahbar: Tarix fakulteti (Win +) | Kimga: O‘qituvchi | Fakultet: Barchasi | ✅ Xabar 3 ta o‘qituvchiga yuborildi.
2025-10-25 20:47:50 | Rahbar: Tarix fakulteti (Win +) | Kimga: O‘qituvchi | Fakultet: Barchasi | ✅ Xabar 4 ta o‘qituvchiga yuborildi.
2025-10-25 20:52:25 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ✅ Xabar 1 ta o‘qituvchiga yuborildi.
2025-10-25 20:52:26 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ✅ Xabar 2 ta o‘qituvchiga yuborildi.
2025-10-25 20:52:26 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ✅ Xabar 3 ta o‘qituvchiga yuborildi.
2025-10-25 20:52:27 | Rahbar: Tarix fakulteti (Win +) | Kimga: Barchasi | Fakultet: Barchasi | ✅ Xabar 4 ta o‘qituvchiga yuborildi.
